Datetime,MW
7/20/18 14:00,3514
7/20/18 13:00,3512
7/20/18 12:00,3503
7/20/18 11:00,3492
7/20/18 10:00,3426
7/20/18 9:00,3330
7/20/18 8:00,3222
7/20/18 7:00,3069
7/20/18 6:00,2871
7/20/18 5:00,2734
7/20/18 4:00,2721
7/20/18 3:00,2804
7/20/18 2:00,2946
7/20/18 1:00,3153
7/20/18 0:00,3438
7/19/18 23:00,3763
7/19/18 22:00,4024
7/19/18 21:00,4153
7/19/18 20:00,4387
7/19/18 19:00,4515
7/19/18 18:00,4551
7/19/18 17:00,4502
7/19/18 16:00,4401
7/19/18 15:00,4287
7/19/18 14:00,4179
7/19/18 13:00,4013
7/19/18 12:00,3854
7/19/18 11:00,3680
7/19/18 10:00,3517
7/19/18 9:00,3273
7/19/18 8:00,3055
7/19/18 7:00,2894
7/19/18 6:00,2723
7/19/18 5:00,2657
7/19/18 4:00,2639
7/19/18 3:00,2740
7/19/18 2:00,2930
7/19/18 1:00,3139
7/19/18 0:00,3416
7/18/18 23:00,3761
7/18/18 22:00,4013
7/18/18 21:00,4132
7/18/18 20:00,4330
7/18/18 19:00,4446
7/18/18 18:00,4487
7/18/18 17:00,4457
7/18/18 16:00,4426
7/18/18 15:00,4348
7/18/18 14:00,4211
7/18/18 13:00,4026
7/18/18 12:00,3891
7/18/18 11:00,3701
7/18/18 10:00,3476
7/18/18 9:00,3258
7/18/18 8:00,3034
7/18/18 7:00,2857
7/18/18 6:00,2748
7/18/18 5:00,2662
7/18/18 4:00,2719
7/18/18 3:00,2834
7/18/18 2:00,3011
7/18/18 1:00,3230
7/18/18 0:00,3543
7/17/18 23:00,3892
7/17/18 22:00,4154
7/17/18 21:00,4300
7/17/18 20:00,4482
7/17/18 19:00,4663
7/17/18 18:00,4744
7/17/18 17:00,4752
7/17/18 16:00,4635
7/17/18 15:00,4561
7/17/18 14:00,4435
7/17/18 13:00,4307
7/17/18 12:00,4176
7/17/18 11:00,4029
7/17/18 10:00,3855
7/17/18 9:00,3643
7/17/18 8:00,3461
7/17/18 7:00,3304
7/17/18 6:00,3156
7/17/18 5:00,3055
7/17/18 4:00,3076
7/17/18 3:00,3163
7/17/18 2:00,3303
7/17/18 1:00,3526
7/17/18 0:00,3810
7/16/18 23:00,4120
7/16/18 22:00,4375
7/16/18 21:00,4504
7/16/18 20:00,4699
7/16/18 19:00,4843
7/16/18 18:00,4827
7/16/18 17:00,4774
7/16/18 16:00,4679
7/16/18 15:00,4610
7/16/18 14:00,4539
7/16/18 13:00,4472
7/16/18 12:00,4382
7/16/18 11:00,4208
7/16/18 10:00,3990
7/16/18 9:00,3740
7/16/18 8:00,3506
7/16/18 7:00,3310
7/16/18 6:00,3132
7/16/18 5:00,3040
7/16/18 4:00,3050
7/16/18 3:00,3075
7/16/18 2:00,3160
7/16/18 1:00,3349
7/16/18 0:00,3570
7/15/18 23:00,3865
7/15/18 22:00,4063
7/15/18 21:00,4139
7/15/18 20:00,4236
7/15/18 19:00,4351
7/15/18 18:00,4418
7/15/18 17:00,4419
7/15/18 16:00,4308
7/15/18 15:00,4202
7/15/18 14:00,4106
7/15/18 13:00,3925
7/15/18 12:00,3745
7/15/18 11:00,3491
7/15/18 10:00,3245
7/15/18 9:00,3034
7/15/18 8:00,2929
7/15/18 7:00,2872
7/15/18 6:00,2887
7/15/18 5:00,2905
7/15/18 4:00,2984
7/15/18 3:00,3109
7/15/18 2:00,3292
7/15/18 1:00,3505
7/15/18 0:00,3756
7/14/18 23:00,4064
7/14/18 22:00,4246
7/14/18 21:00,4376
7/14/18 20:00,4562
7/14/18 19:00,4753
7/14/18 18:00,4758
7/14/18 17:00,4743
7/14/18 16:00,4669
7/14/18 15:00,4566
7/14/18 14:00,4411
7/14/18 13:00,4291
7/14/18 12:00,4072
7/14/18 11:00,3786
7/14/18 10:00,3447
7/14/18 9:00,3101
7/14/18 8:00,2866
7/14/18 7:00,2750
7/14/18 6:00,2745
7/14/18 5:00,2729
7/14/18 4:00,2807
7/14/18 3:00,2956
7/14/18 2:00,3153
7/14/18 1:00,3360
7/14/18 0:00,3661
7/13/18 23:00,3967
7/13/18 22:00,4244
7/13/18 21:00,4382
7/13/18 20:00,4593
7/13/18 19:00,4755
7/13/18 18:00,4847
7/13/18 17:00,4823
7/13/18 16:00,4718
7/13/18 15:00,4624
7/13/18 14:00,4451
7/13/18 13:00,4279
7/13/18 12:00,4057
7/13/18 11:00,3856
7/13/18 10:00,3597
7/13/18 9:00,3351
7/13/18 8:00,3094
7/13/18 7:00,2896
7/13/18 6:00,2756
7/13/18 5:00,2655
7/13/18 4:00,2661
7/13/18 3:00,2748
7/13/18 2:00,2890
7/13/18 1:00,3105
7/13/18 0:00,3410
7/12/18 23:00,3729
7/12/18 22:00,3982
7/12/18 21:00,4126
7/12/18 20:00,4333
7/12/18 19:00,4467
7/12/18 18:00,4526
7/12/18 17:00,4513
7/12/18 16:00,4411
7/12/18 15:00,4314
7/12/18 14:00,4172
7/12/18 13:00,4019
7/12/18 12:00,3844
7/12/18 11:00,3718
7/12/18 10:00,3499
7/12/18 9:00,3283
7/12/18 8:00,3085
7/12/18 7:00,2881
7/12/18 6:00,2722
7/12/18 5:00,2665
7/12/18 4:00,2670
7/12/18 3:00,2786
7/12/18 2:00,2950
7/12/18 1:00,3157
7/12/18 0:00,3446
7/11/18 23:00,3775
7/11/18 22:00,4048
7/11/18 21:00,4174
7/11/18 20:00,4418
7/11/18 19:00,4574
7/11/18 18:00,4665
7/11/18 17:00,4651
7/11/18 16:00,4606
7/11/18 15:00,4518
7/11/18 14:00,4425
7/11/18 13:00,4253
7/11/18 12:00,4111
7/11/18 11:00,3946
7/11/18 10:00,3740
7/11/18 9:00,3513
7/11/18 8:00,3382
7/11/18 7:00,3260
7/11/18 6:00,3177
7/11/18 5:00,3100
7/11/18 4:00,3149
7/11/18 3:00,3221
7/11/18 2:00,3387
7/11/18 1:00,3572
7/11/18 0:00,3867
7/10/18 23:00,4164
7/10/18 22:00,4414
7/10/18 21:00,4530
7/10/18 20:00,4760
7/10/18 19:00,5003
7/10/18 18:00,5102
7/10/18 17:00,5119
7/10/18 16:00,5049
7/10/18 15:00,5023
7/10/18 14:00,4907
7/10/18 13:00,4743
7/10/18 12:00,4569
7/10/18 11:00,4333
7/10/18 10:00,4050
7/10/18 9:00,3698
7/10/18 8:00,3416
7/10/18 7:00,3200
7/10/18 6:00,3072
7/10/18 5:00,2975
7/10/18 4:00,2987
7/10/18 3:00,3128
7/10/18 2:00,3287
7/10/18 1:00,3540
7/10/18 0:00,3829
7/9/18 23:00,4169
7/9/18 22:00,4455
7/9/18 21:00,4649
7/9/18 20:00,4824
7/9/18 19:00,4947
7/9/18 18:00,4973
7/9/18 17:00,4988
7/9/18 16:00,4901
7/9/18 15:00,4802
7/9/18 14:00,4644
7/9/18 13:00,4515
7/9/18 12:00,4299
7/9/18 11:00,4037
7/9/18 10:00,3757
7/9/18 9:00,3443
7/9/18 8:00,3182
7/9/18 7:00,2992
7/9/18 6:00,2837
7/9/18 5:00,2707
7/9/18 4:00,2745
7/9/18 3:00,2826
7/9/18 2:00,2986
7/9/18 1:00,3194
7/9/18 0:00,3483
7/8/18 23:00,3786
7/8/18 22:00,3983
7/8/18 21:00,4125
7/8/18 20:00,4268
7/8/18 19:00,4350
7/8/18 18:00,4334
7/8/18 17:00,4205
7/8/18 16:00,4047
7/8/18 15:00,3841
7/8/18 14:00,3655
7/8/18 13:00,3441
7/8/18 12:00,3209
7/8/18 11:00,2970
7/8/18 10:00,2717
7/8/18 9:00,2477
7/8/18 8:00,2282
7/8/18 7:00,2195
7/8/18 6:00,2207
7/8/18 5:00,2212
7/8/18 4:00,2267
7/8/18 3:00,2333
7/8/18 2:00,2477
7/8/18 1:00,2639
7/8/18 0:00,2874
7/7/18 23:00,3096
7/7/18 22:00,3284
7/7/18 21:00,3432
7/7/18 20:00,3632
7/7/18 19:00,3729
7/7/18 18:00,3758
7/7/18 17:00,3714
7/7/18 16:00,3583
7/7/18 15:00,3485
7/7/18 14:00,3351
7/7/18 13:00,3277
7/7/18 12:00,3163
7/7/18 11:00,3027
7/7/18 10:00,2848
7/7/18 9:00,2641
7/7/18 8:00,2447
7/7/18 7:00,2331
7/7/18 6:00,2351
7/7/18 5:00,2317
7/7/18 4:00,2372
7/7/18 3:00,2448
7/7/18 2:00,2585
7/7/18 1:00,2789
7/7/18 0:00,3072
7/6/18 23:00,3345
7/6/18 22:00,3574
7/6/18 21:00,3772
7/6/18 20:00,4026
7/6/18 19:00,4210
7/6/18 18:00,4318
7/6/18 17:00,4307
7/6/18 16:00,4232
7/6/18 15:00,4142
7/6/18 14:00,4039
7/6/18 13:00,3966
7/6/18 12:00,3866
7/6/18 11:00,3857
7/6/18 10:00,3772
7/6/18 9:00,3605
7/6/18 8:00,3405
7/6/18 7:00,3215
7/6/18 6:00,3102
7/6/18 5:00,3028
7/6/18 4:00,3042
7/6/18 3:00,3110
7/6/18 2:00,3318
7/6/18 1:00,3515
7/6/18 0:00,3769
7/5/18 23:00,4043
7/5/18 22:00,4282
7/5/18 21:00,4359
7/5/18 20:00,4528
7/5/18 19:00,4746
7/5/18 18:00,4904
7/5/18 17:00,4969
7/5/18 16:00,5101
7/5/18 15:00,5044
7/5/18 14:00,5124
7/5/18 13:00,5005
7/5/18 12:00,4838
7/5/18 11:00,4583
7/5/18 10:00,4266
7/5/18 9:00,3912
7/5/18 8:00,3588
7/5/18 7:00,3372
7/5/18 6:00,3188
7/5/18 5:00,3116
7/5/18 4:00,3139
7/5/18 3:00,3259
7/5/18 2:00,3412
7/5/18 1:00,3639
7/5/18 0:00,3893
7/4/18 23:00,4095
7/4/18 22:00,4308
7/4/18 21:00,4418
7/4/18 20:00,4582
7/4/18 19:00,4718
7/4/18 18:00,4829
7/4/18 17:00,4811
7/4/18 16:00,4777
7/4/18 15:00,4699
7/4/18 14:00,4598
7/4/18 13:00,4457
7/4/18 12:00,4278
7/4/18 11:00,3950
7/4/18 10:00,3567
7/4/18 9:00,3170
7/4/18 8:00,2860
7/4/18 7:00,2745
7/4/18 6:00,2748
7/4/18 5:00,2751
7/4/18 4:00,2772
7/4/18 3:00,2907
7/4/18 2:00,3042
7/4/18 1:00,3244
7/4/18 0:00,3415
7/3/18 23:00,3677
7/3/18 22:00,3860
7/3/18 21:00,3938
7/3/18 20:00,4054
7/3/18 19:00,4192
7/3/18 18:00,4286
7/3/18 17:00,4440
7/3/18 16:00,4649
7/3/18 15:00,4773
7/3/18 14:00,4700
7/3/18 13:00,4519
7/3/18 12:00,4231
7/3/18 11:00,3961
7/3/18 10:00,3794
7/3/18 9:00,3626
7/3/18 8:00,3346
7/3/18 7:00,3111
7/3/18 6:00,2976
7/3/18 5:00,2854
7/3/18 4:00,2895
7/3/18 3:00,2951
7/3/18 2:00,3103
7/3/18 1:00,3307
7/3/18 0:00,3564
7/2/18 23:00,3890
7/2/18 22:00,4066
7/2/18 21:00,4151
7/2/18 20:00,4239
7/2/18 19:00,4247
7/2/18 18:00,4240
7/2/18 17:00,4282
7/2/18 16:00,4420
7/2/18 15:00,4663
7/2/18 14:00,4743
7/2/18 13:00,4746
7/2/18 12:00,4551
7/2/18 11:00,4288
7/2/18 10:00,3973
7/2/18 9:00,3712
7/2/18 8:00,3440
7/2/18 7:00,3230
7/2/18 6:00,3100
7/2/18 5:00,2972
7/2/18 4:00,2995
7/2/18 3:00,3059
7/2/18 2:00,3214
7/2/18 1:00,3393
7/2/18 0:00,3648
7/1/18 23:00,3916
7/1/18 22:00,4112
7/1/18 21:00,4190
7/1/18 20:00,4291
7/1/18 19:00,4378
7/1/18 18:00,4357
7/1/18 17:00,4280
7/1/18 16:00,4461
7/1/18 15:00,4634
7/1/18 14:00,4571
7/1/18 13:00,4452
7/1/18 12:00,4286
7/1/18 11:00,4022
7/1/18 10:00,3689
7/1/18 9:00,3312
7/1/18 8:00,2973
7/1/18 7:00,2834
7/1/18 6:00,2874
7/1/18 5:00,2911
7/1/18 4:00,3002
7/1/18 3:00,3135
7/1/18 2:00,3325
7/1/18 1:00,3530
7/1/18 0:00,3813
6/30/18 23:00,4100
6/30/18 22:00,4293
6/30/18 21:00,4488
6/30/18 20:00,4651
6/30/18 19:00,4751
6/30/18 18:00,4799
6/30/18 17:00,4810
6/30/18 16:00,4753
6/30/18 15:00,4658
6/30/18 14:00,4533
6/30/18 13:00,4423
6/30/18 12:00,4240
6/30/18 11:00,4011
6/30/18 10:00,3671
6/30/18 9:00,3339
6/30/18 8:00,3020
6/30/18 7:00,2859
6/30/18 6:00,2867
6/30/18 5:00,2862
6/30/18 4:00,2974
6/30/18 3:00,3121
6/30/18 2:00,3297
6/30/18 1:00,3560
6/30/18 0:00,3893
6/29/18 23:00,4198
6/29/18 22:00,4471
6/29/18 21:00,4617
6/29/18 20:00,4798
6/29/18 19:00,4887
6/29/18 18:00,4922
6/29/18 17:00,4867
6/29/18 16:00,4786
6/29/18 15:00,4734
6/29/18 14:00,4622
6/29/18 13:00,4484
6/29/18 12:00,4301
6/29/18 11:00,4103
6/29/18 10:00,3810
6/29/18 9:00,3397
6/29/18 8:00,3215
6/29/18 7:00,3027
6/29/18 6:00,2882
6/29/18 5:00,2809
6/29/18 4:00,2827
6/29/18 3:00,2929
6/29/18 2:00,3096
6/29/18 1:00,3296
6/29/18 0:00,3621
6/28/18 23:00,3956
6/28/18 22:00,4226
6/28/18 21:00,4364
6/28/18 20:00,4556
6/28/18 19:00,4662
6/28/18 18:00,4727
6/28/18 17:00,4675
6/28/18 16:00,4561
6/28/18 15:00,4438
6/28/18 14:00,4323
6/28/18 13:00,4173
6/28/18 12:00,3995
6/28/18 11:00,3874
6/28/18 10:00,3646
6/28/18 9:00,3431
6/28/18 8:00,3164
6/28/18 7:00,2923
6/28/18 6:00,2765
6/28/18 5:00,2688
6/28/18 4:00,2682
6/28/18 3:00,2760
6/28/18 2:00,2882
6/28/18 1:00,3072
6/28/18 0:00,3326
6/27/18 23:00,3570
6/27/18 22:00,3803
6/27/18 21:00,3881
6/27/18 20:00,4027
6/27/18 19:00,4092
6/27/18 18:00,4189
6/27/18 17:00,4127
6/27/18 16:00,4064
6/27/18 15:00,3933
6/27/18 14:00,3860
6/27/18 13:00,3743
6/27/18 12:00,3618
6/27/18 11:00,3498
6/27/18 10:00,3361
6/27/18 9:00,3204
6/27/18 8:00,3053
6/27/18 7:00,2893
6/27/18 6:00,2684
6/27/18 5:00,2534
6/27/18 4:00,2524
6/27/18 3:00,2540
6/27/18 2:00,2660
6/27/18 1:00,2766
6/27/18 0:00,2975
6/26/18 23:00,3173
6/26/18 22:00,3309
6/26/18 21:00,3282
6/26/18 20:00,3309
6/26/18 19:00,3370
6/26/18 18:00,3386
6/26/18 17:00,3450
6/26/18 16:00,3535
6/26/18 15:00,3637
6/26/18 14:00,3799
6/26/18 13:00,3784
6/26/18 12:00,3641
6/26/18 11:00,3521
6/26/18 10:00,3332
6/26/18 9:00,3137
6/26/18 8:00,2979
6/26/18 7:00,2813
6/26/18 6:00,2630
6/26/18 5:00,2515
6/26/18 4:00,2511
6/26/18 3:00,2596
6/26/18 2:00,2644
6/26/18 1:00,2809
6/26/18 0:00,3034
6/25/18 23:00,3245
6/25/18 22:00,3435
6/25/18 21:00,3486
6/25/18 20:00,3535
6/25/18 19:00,3545
6/25/18 18:00,3575
6/25/18 17:00,3602
6/25/18 16:00,3624
6/25/18 15:00,3490
6/25/18 14:00,3483
6/25/18 13:00,3465
6/25/18 12:00,3437
6/25/18 11:00,3409
6/25/18 10:00,3312
6/25/18 9:00,3222
6/25/18 8:00,3087
6/25/18 7:00,2934
6/25/18 6:00,2756
6/25/18 5:00,2655
6/25/18 4:00,2633
6/25/18 3:00,2687
6/25/18 2:00,2800
6/25/18 1:00,3011
6/25/18 0:00,3257
6/24/18 23:00,3543
6/24/18 22:00,3760
6/24/18 21:00,3870
6/24/18 20:00,4013
6/24/18 19:00,4117
6/24/18 18:00,4126
6/24/18 17:00,4008
6/24/18 16:00,3873
6/24/18 15:00,3767
6/24/18 14:00,3663
6/24/18 13:00,3579
6/24/18 12:00,3437
6/24/18 11:00,3228
6/24/18 10:00,3055
6/24/18 9:00,2761
6/24/18 8:00,2513
6/24/18 7:00,2368
6/24/18 6:00,2391
6/24/18 5:00,2393
6/24/18 4:00,2425
6/24/18 3:00,2528
6/24/18 2:00,2638
6/24/18 1:00,2808
6/24/18 0:00,2997
6/23/18 23:00,3189
6/23/18 22:00,3305
6/23/18 21:00,3329
6/23/18 20:00,3368
6/23/18 19:00,3457
6/23/18 18:00,3515
6/23/18 17:00,3486
6/23/18 16:00,3461
6/23/18 15:00,3385
6/23/18 14:00,3314
6/23/18 13:00,3267
6/23/18 12:00,3225
6/23/18 11:00,3098
6/23/18 10:00,2968
6/23/18 9:00,2793
6/23/18 8:00,2633
6/23/18 7:00,2525
6/23/18 6:00,2494
6/23/18 5:00,2458
6/23/18 4:00,2483
6/23/18 3:00,2560
6/23/18 2:00,2669
6/23/18 1:00,2825
6/23/18 0:00,3059
6/22/18 23:00,3266
6/22/18 22:00,3413
6/22/18 21:00,3472
6/22/18 20:00,3569
6/22/18 19:00,3636
6/22/18 18:00,3774
6/22/18 17:00,3963
6/22/18 16:00,3988
6/22/18 15:00,4058
6/22/18 14:00,4130
6/22/18 13:00,4041
6/22/18 12:00,3859
6/22/18 11:00,3730
6/22/18 10:00,3509
6/22/18 9:00,3408
6/22/18 8:00,3174
6/22/18 7:00,3012
6/22/18 6:00,2820
6/22/18 5:00,2703
6/22/18 4:00,2688
6/22/18 3:00,2764
6/22/18 2:00,2829
6/22/18 1:00,2984
6/22/18 0:00,3216
6/21/18 23:00,3430
6/21/18 22:00,3589
6/21/18 21:00,3580
6/21/18 20:00,3660
6/21/18 19:00,3675
6/21/18 18:00,3696
6/21/18 17:00,3673
6/21/18 16:00,3718
6/21/18 15:00,3762
6/21/18 14:00,3819
6/21/18 13:00,3805
6/21/18 12:00,3826
6/21/18 11:00,3817
6/21/18 10:00,3777
6/21/18 9:00,3655
6/21/18 8:00,3467
6/21/18 7:00,3353
6/21/18 6:00,3168
6/21/18 5:00,3071
6/21/18 4:00,3053
6/21/18 3:00,3167
6/21/18 2:00,3321
6/21/18 1:00,3559
6/21/18 0:00,3831
6/20/18 23:00,4147
6/20/18 22:00,4401
6/20/18 21:00,4526
6/20/18 20:00,4693
6/20/18 19:00,4846
6/20/18 18:00,4921
6/20/18 17:00,4977
6/20/18 16:00,4930
6/20/18 15:00,4840
6/20/18 14:00,4763
6/20/18 13:00,4603
6/20/18 12:00,4427
6/20/18 11:00,4261
6/20/18 10:00,4007
6/20/18 9:00,3757
6/20/18 8:00,3516
6/20/18 7:00,3305
6/20/18 6:00,3129
6/20/18 5:00,3050
6/20/18 4:00,3036
6/20/18 3:00,3143
6/20/18 2:00,3296
6/20/18 1:00,3545
6/20/18 0:00,3792
6/19/18 23:00,4124
6/19/18 22:00,4396
6/19/18 21:00,4524
6/19/18 20:00,4789
6/19/18 19:00,4970
6/19/18 18:00,5017
6/19/18 17:00,4966
6/19/18 16:00,5050
6/19/18 15:00,5063
6/19/18 14:00,5034
6/19/18 13:00,4879
6/19/18 12:00,4795
6/19/18 11:00,4613
6/19/18 10:00,4339
6/19/18 9:00,4091
6/19/18 8:00,3837
6/19/18 7:00,3634
6/19/18 6:00,3492
6/19/18 5:00,3402
6/19/18 4:00,3420
6/19/18 3:00,3563
6/19/18 2:00,3712
6/19/18 1:00,3951
6/19/18 0:00,4234
6/18/18 23:00,4574
6/18/18 22:00,4834
6/18/18 21:00,4971
6/18/18 20:00,5122
6/18/18 19:00,5168
6/18/18 18:00,5132
6/18/18 17:00,5143
6/18/18 16:00,5195
6/18/18 15:00,5192
6/18/18 14:00,5102
6/18/18 13:00,4984
6/18/18 12:00,4822
6/18/18 11:00,4593
6/18/18 10:00,4257
6/18/18 9:00,3948
6/18/18 8:00,3632
6/18/18 7:00,3398
6/18/18 6:00,3255
6/18/18 5:00,3161
6/18/18 4:00,3208
6/18/18 3:00,3328
6/18/18 2:00,3490
6/18/18 1:00,3710
6/18/18 0:00,3989
6/17/18 23:00,4285
6/17/18 22:00,4517
6/17/18 21:00,4577
6/17/18 20:00,4734
6/17/18 19:00,4786
6/17/18 18:00,4856
6/17/18 17:00,4817
6/17/18 16:00,4737
6/17/18 15:00,4644
6/17/18 14:00,4534
6/17/18 13:00,4418
6/17/18 12:00,4199
6/17/18 11:00,3935
6/17/18 10:00,3560
6/17/18 9:00,3232
6/17/18 8:00,2886
6/17/18 7:00,2760
6/17/18 6:00,2777
6/17/18 5:00,2823
6/17/18 4:00,2920
6/17/18 3:00,3023
6/17/18 2:00,3189
6/17/18 1:00,3401
6/17/18 0:00,3653
6/16/18 23:00,3890
6/16/18 22:00,4083
6/16/18 21:00,4167
6/16/18 20:00,4319
6/16/18 19:00,4449
6/16/18 18:00,4605
6/16/18 17:00,4640
6/16/18 16:00,4530
6/16/18 15:00,4413
6/16/18 14:00,4248
6/16/18 13:00,4071
6/16/18 12:00,3843
6/16/18 11:00,3608
6/16/18 10:00,3280
6/16/18 9:00,3010
6/16/18 8:00,2728
6/16/18 7:00,2574
6/16/18 6:00,2564
6/16/18 5:00,2566
6/16/18 4:00,2632
6/16/18 3:00,2736
6/16/18 2:00,2865
6/16/18 1:00,3117
6/16/18 0:00,3389
6/15/18 23:00,3721
6/15/18 22:00,3942
6/15/18 21:00,4074
6/15/18 20:00,4269
6/15/18 19:00,4415
6/15/18 18:00,4502
6/15/18 17:00,4472
6/15/18 16:00,4372
6/15/18 15:00,4264
6/15/18 14:00,4124
6/15/18 13:00,3962
6/15/18 12:00,3803
6/15/18 11:00,3637
6/15/18 10:00,3385
6/15/18 9:00,3170
6/15/18 8:00,2937
6/15/18 7:00,2735
6/15/18 6:00,2564
6/15/18 5:00,2486
6/15/18 4:00,2500
6/15/18 3:00,2595
6/15/18 2:00,2708
6/15/18 1:00,2937
6/15/18 0:00,3187
6/14/18 23:00,3526
6/14/18 22:00,3774
6/14/18 21:00,3877
6/14/18 20:00,4091
6/14/18 19:00,4248
6/14/18 18:00,4304
6/14/18 17:00,4221
6/14/18 16:00,4128
6/14/18 15:00,4034
6/14/18 14:00,3902
6/14/18 13:00,3757
6/14/18 12:00,3642
6/14/18 11:00,3477
6/14/18 10:00,3291
6/14/18 9:00,3086
6/14/18 8:00,2907
6/14/18 7:00,2696
6/14/18 6:00,2551
6/14/18 5:00,2470
6/14/18 4:00,2471
6/14/18 3:00,2607
6/14/18 2:00,2757
6/14/18 1:00,2991
6/14/18 0:00,3281
6/13/18 23:00,3589
6/13/18 22:00,3794
6/13/18 21:00,3909
6/13/18 20:00,4067
6/13/18 19:00,4244
6/13/18 18:00,4456
6/13/18 17:00,4568
6/13/18 16:00,4533
6/13/18 15:00,4410
6/13/18 14:00,4293
6/13/18 13:00,4085
6/13/18 12:00,3902
6/13/18 11:00,3717
6/13/18 10:00,3480
6/13/18 9:00,3271
6/13/18 8:00,3110
6/13/18 7:00,2915
6/13/18 6:00,2750
6/13/18 5:00,2593
6/13/18 4:00,2580
6/13/18 3:00,2633
6/13/18 2:00,2732
6/13/18 1:00,2904
6/13/18 0:00,3094
6/12/18 23:00,3340
6/12/18 22:00,3499
6/12/18 21:00,3524
6/12/18 20:00,3583
6/12/18 19:00,3725
6/12/18 18:00,3850
6/12/18 17:00,3869
6/12/18 16:00,3888
6/12/18 15:00,3842
6/12/18 14:00,3737
6/12/18 13:00,3584
6/12/18 12:00,3454
6/12/18 11:00,3412
6/12/18 10:00,3333
6/12/18 9:00,3242
6/12/18 8:00,3086
6/12/18 7:00,2897
6/12/18 6:00,2725
6/12/18 5:00,2590
6/12/18 4:00,2547
6/12/18 3:00,2621
6/12/18 2:00,2729
6/12/18 1:00,2885
6/12/18 0:00,3095
6/11/18 23:00,3382
6/11/18 22:00,3555
6/11/18 21:00,3613
6/11/18 20:00,3674
6/11/18 19:00,3744
6/11/18 18:00,3780
6/11/18 17:00,3775
6/11/18 16:00,3675
6/11/18 15:00,3572
6/11/18 14:00,3830
6/11/18 13:00,3451
6/11/18 12:00,2971
6/11/18 11:00,3371
6/11/18 10:00,3305
6/11/18 9:00,3204
6/11/18 8:00,3067
6/11/18 7:00,2874
6/11/18 6:00,2674
6/11/18 5:00,2514
6/11/18 4:00,2524
6/11/18 3:00,2528
6/11/18 2:00,2639
6/11/18 1:00,2769
6/11/18 0:00,2982
6/10/18 23:00,3209
6/10/18 22:00,3395
6/10/18 21:00,3414
6/10/18 20:00,3507
6/10/18 19:00,3561
6/10/18 18:00,3643
6/10/18 17:00,3550
6/10/18 16:00,3387
6/10/18 15:00,3490
6/10/18 14:00,3581
6/10/18 13:00,3583
6/10/18 12:00,3507
6/10/18 11:00,3253
6/10/18 10:00,3064
6/10/18 9:00,2765
6/10/18 8:00,2527
6/10/18 7:00,2401
6/10/18 6:00,2422
6/10/18 5:00,2439
